epoch,iteration,loss_g,loss_d,dx,dgz_before,dgz_after
2,1,8.53868,1.15518,0.90043,0.38018,0.00044
2,2,7.82639,0.78967,0.74667,0.09924,0.00099
2,3,6.13574,0.52953,0.73920,0.01610,0.00420
3,4,7.42163,0.96569,0.85237,0.26789,0.00085
3,5,7.65863,0.70438,0.80884,0.10841,0.00072
3,6,7.92314,0.59529,0.90184,0.09229,0.00057
4,7,6.69815,0.74347,0.74311,0.07856,0.00196
4,8,9.30051,0.73256,0.82773,0.18724,0.00014
4,9,8.21227,0.64215,0.82173,0.02968,0.00054
5,10,8.02492,0.58349,0.83760,0.10176,0.00048
5,11,9.41213,0.77032,0.81974,0.13348,0.00012
5,12,7.85492,0.61894,0.80294,0.03895,0.00057
6,1,12.11495,0.70716,0.93295,0.18920,0.00001
6,2,10.89938,0.42191,0.86718,0.00295,0.00003
6,3,6.42756,0.50561,0.73726,0.01266,0.00306
7,4,17.22158,1.24012,0.91408,0.47019,0.00000
7,5,17.85568,0.60913,0.66377,0.00002,0.00000
7,6,14.18365,0.43884,0.93657,0.00003,0.00000
8,7,7.76363,0.45262,0.91390,0.00481,0.00115
8,8,16.83979,1.25189,0.81483,0.45417,0.00000
8,9,16.25481,0.87992,0.53522,0.00003,0.00000
9,10,11.76384,0.49317,0.92723,0.00014,0.00001
9,11,6.50757,0.76945,0.90457,0.03190,0.00234
9,12,21.23710,1.84890,0.95063,0.65534,0.00000
10,13,23.38349,1.28119,0.52240,0.00000,0.00000
10,14,19.91645,0.63552,0.75170,0.00000,0.00000
10,15,12.34033,0.55808,0.84385,0.00002,0.00001
11,16,5.79808,0.54616,0.95058,0.04299,0.00445
11,17,21.63277,2.55115,0.94042,0.79327,0.00000
11,18,24.21552,0.97634,0.55744,0.00000,0.00000
12,19,21.41959,0.67623,0.75315,0.00000,0.00000
12,20,15.33360,0.51028,0.90132,0.00000,0.00000
12,21,7.68346,0.57630,0.90275,0.00196,0.00125
13,22,19.42051,1.71043,0.94248,0.58541,0.00000
13,23,21.12627,0.86975,0.59160,0.00000,0.00000
13,24,17.41973,0.92963,0.62241,0.00000,0.00000
14,25,10.65419,0.55703,0.92967,0.00008,0.00004
14,26,11.13947,0.90174,0.96665,0.20462,0.00002
14,27,9.94852,0.54418,0.90490,0.03403,0.00007
15,28,10.04829,0.59754,0.83798,0.09550,0.00007
15,29,9.63329,0.81491,0.67802,0.09180,0.00010
15,30,12.32186,0.64750,0.88730,0.12706,0.00001
16,31,9.50559,0.49536,0.82310,0.01120,0.00011
16,32,12.82533,0.65094,0.86864,0.15956,0.00000
16,33,10.09679,0.52823,0.77883,0.00608,0.00007
17,34,7.68138,0.57160,0.83869,0.04589,0.00075
17,35,18.81163,0.94695,0.86024,0.33319,0.00000
17,36,19.51750,0.63895,0.73162,0.00000,0.00000
18,37,14.90130,0.70209,0.69568,0.00000,0.00000
18,38,6.50334,0.76558,0.77563,0.00146,0.00240
18,39,22.43149,1.72420,0.93009,0.59357,0.00000
19,40,24.64349,0.60786,0.70693,0.00000,0.00000
19,41,20.62167,0.67780,0.66536,0.00000,0.00000
19,42,13.84202,0.46056,0.87950,0.00000,0.00000
20,43,7.14777,0.58964,0.89354,0.00158,0.00162
20,44,15.86468,1.09932,0.95648,0.40304,0.00000
20,45,15.91863,0.72301,0.66341,0.00009,0.00000
21,46,10.72970,0.66931,0.69577,0.00026,0.00013
21,47,5.93544,0.60767,0.87306,0.04050,0.00903
21,48,16.16188,1.20010,0.92153,0.43021,0.00000
22,49,17.22491,0.71194,0.67355,0.00001,0.00000
22,50,12.95561,0.79819,0.68702,0.00001,0.00000
22,51,7.48058,0.56077,0.85570,0.00079,0.00108
23,52,8.70430,0.78383,0.93872,0.16293,0.00031
23,53,8.44020,0.50489,0.89155,0.03637,0.00044
23,54,8.26527,0.61193,0.80611,0.09042,0.00052
24,55,10.08536,0.77030,0.76544,0.14975,0.00006
24,56,8.55987,0.47276,0.84594,0.01908,0.00031
24,57,7.98419,0.53516,0.86488,0.05858,0.00047
25,58,10.52492,0.72951,0.77435,0.16318,0.00010
25,59,7.89950,0.63983,0.67204,0.00586,0.00076
25,60,7.84812,0.57143,0.91112,0.10609,0.00060
26,61,2.89800,0.65585,0.75850,0.17553,0.06188
26,62,3.03850,0.61520,0.81664,0.18396,0.05412
26,63,2.90010,0.73975,0.70415,0.20004,0.06263
27,64,3.02490,0.62645,0.72900,0.15233,0.06256
27,65,3.06233,0.62505,0.72239,0.13092,0.05881
27,66,2.92606,0.58669,0.78902,0.15379,0.06632
28,67,2.81081,0.65819,0.73001,0.14430,0.06861
28,68,2.62144,0.74673,0.67509,0.17144,0.08751
28,69,2.65642,0.67727,0.74071,0.17889,0.08001
29,70,2.76402,0.66500,0.72198,0.14543,0.07295
29,71,2.79447,0.58884,0.75968,0.14257,0.07023
29,72,2.93584,0.55788,0.76239,0.11362,0.06049
30,73,2.67017,0.67580,0.71804,0.14176,0.08104
30,74,2.78134,0.57489,0.78200,0.13724,0.07292
30,75,2.72289,0.63335,0.74057,0.14995,0.07903
31,76,2.70527,0.64645,0.71074,0.12865,0.08162
31,77,2.61471,0.60745,0.76608,0.15767,0.09071
31,78,2.86469,0.57903,0.77997,0.11933,0.07063
32,79,2.60856,0.62239,0.74052,0.13920,0.08949
32,80,2.76479,0.58110,0.75859,0.10948,0.07386
32,81,2.53602,0.62732,0.77144,0.15291,0.09576
33,82,2.66460,0.62160,0.75140,0.12261,0.08381
33,83,2.57783,0.58134,0.75939,0.13471,0.09249
33,84,2.45670,0.70998,0.67108,0.13536,0.09961
34,85,2.28126,0.66852,0.75423,0.17073,0.12166
34,86,2.41798,0.63707,0.74679,0.14467,0.10245
34,87,2.40901,0.66104,0.72251,0.15426,0.10800
35,88,2.56954,0.62571,0.70255,0.10979,0.08931
35,89,2.14849,0.70631,0.70691,0.17137,0.13398
35,90,2.27887,0.61885,0.79778,0.16789,0.12037
36,91,2.31933,0.59569,0.79641,0.16008,0.12035
36,92,2.17253,0.64305,0.76308,0.17337,0.12975
36,93,2.37171,0.60188,0.78087,0.15134,0.11366
37,94,2.35617,0.68883,0.69053,0.12432,0.10878
37,95,2.36971,0.62173,0.70565,0.12638,0.11445
37,96,2.24875,0.60609,0.78529,0.14645,0.12738
38,97,2.05417,0.65794,0.75905,0.17516,0.15421
38,98,1.94401,0.80077,0.66127,0.18220,0.16224
38,99,2.28509,0.61159,0.73842,0.13676,0.12301
39,100,2.07527,0.60488,0.76723,0.15989,0.15087
39,101,2.20902,0.62755,0.73118,0.14036,0.13272
39,102,2.08063,0.62554,0.75040,0.15746,0.14888
40,103,2.01572,0.62175,0.77042,0.16097,0.15689
40,104,1.95596,0.67393,0.73039,0.17151,0.16744
40,105,2.26986,0.55688,0.78359,0.12979,0.12663
