epoch,train_total_loss,train_reconstruction_loss,train_kl_loss,val_total_loss,val_reconstruction_loss,val_kl_loss
1,0.2581,0.2402,0.0179,0.1792,0.1683,0.0109
2,0.1314,0.1218,0.0097,0.1187,0.1092,0.0095
3,0.1016,0.0923,0.0094,0.0968,0.0871,0.0097
4,0.0887,0.0790,0.0097,0.0827,0.0727,0.0100
5,0.0804,0.0701,0.0103,0.0794,0.0691,0.0103
6,0.0750,0.0641,0.0108,0.0711,0.0598,0.0113
7,0.0701,0.0591,0.0110,0.0651,0.0542,0.0109
8,0.0673,0.0562,0.0111,0.0646,0.0537,0.0109
9,0.0654,0.0541,0.0112,0.0630,0.0515,0.0115
10,0.0639,0.0525,0.0114,0.0599,0.0485,0.0113
11,0.0627,0.0513,0.0114,0.0612,0.0497,0.0115
12,0.0598,0.0484,0.0114,0.0566,0.0452,0.0114
13,0.0588,0.0473,0.0115,0.0557,0.0441,0.0116
14,0.0579,0.0464,0.0115,0.0550,0.0432,0.0118
15,0.0569,0.0453,0.0116,0.0556,0.0444,0.0112
16,0.0564,0.0449,0.0116,0.0546,0.0429,0.0116
17,0.0556,0.0440,0.0116,0.0523,0.0406,0.0117
18,0.0554,0.0437,0.0117,0.0550,0.0433,0.0117
19,0.0539,0.0421,0.0117,0.0528,0.0411,0.0118
20,0.0530,0.0413,0.0117,0.0502,0.0387,0.0115
21,0.0525,0.0408,0.0117,0.0531,0.0409,0.0122
22,0.0515,0.0398,0.0117,0.0501,0.0383,0.0118
23,0.0504,0.0387,0.0118,0.0502,0.0385,0.0118
24,0.0522,0.0402,0.0119,0.0510,0.0388,0.0122
25,0.0508,0.0389,0.0119,0.0494,0.0377,0.0116
